нь	169341
ангилал	105344
онд	79696
оны	61347
юм	49219
байна	41534
улсын	41132
болон	39433
сарын	39326
байсан	34909
бөгөөд	34193
их	33354
энэ	31446
монгол	25755
олон	24785
гэж	24079
ба	24039
нд	22646
хүн	21247
байдаг	21152
улс	20987
нэг	20821
төрсөн	19525
мөн	18048
болсон	16902
дахь	16547
монголын	15759
тус	15679
аймгийн	15233
байв	15172
газар	15167
дараа	15036
зэрэг	14667
хамгийн	14501
хоёр	14401
тэрээр	14205
үед	14136
түүний	14121
бол	14060
дэлхийн	13458
он	13209
буюу	13164
дээр	12477
гэсэн	11874
төрийн	11755
багийн	11722
анхны	11704
байжээ	11116
засгийн	11006
үйл	10931
болох	10831
нас	10300
хотод	10209
төв	10128
холбоос	10094
гол	10060
болж	9772
гэдэг	9547
болно	9487
эх	9314
байгаа	9238
цэргийн	9194
оросын	9185
хаан	9131
аварга	9074
жилийн	9015
уран	8984
шинэ	8907
тоглогч	8896
хот	8854
сургууль	8737
ану-ын	8701
бусад	8623
албан	8590
газрын	8486
дээд	8422
эсвэл	8421
хүртэл	8411
кино	8404
хотын	8368
оноос	8101
бүх	8023
ерөнхий	8020
нэр	7969
тэр	7954
байх	7934
үндэсний	7827
үеийн	7801
сард	7763
гэх	7655
бага	7613
өмнөд	7511
анх	7390
эрх	7329
зураг	7255
өндөр	7189
файл	7145
эдийн	7139
бий	7113
нар	7023
цахим	7015
сургуулийн	6985
зууны	6958
гишүүн	6920
үндсэн	6889
сайд	6883
аж	6869
тухай	6860
том	6827
сумын	6780
нутаг	6717
орон	6701
ийн	6689
ажиллаж	6671
жил	6602
зохион	6550
баруун	6513
өдөр	6481
ухааны	6478
буй	6470
шинжлэх	6442
хүний	6431
зүүн	6429
америкийн	6424
өөрийн	6417
өөр	6410
дарга	6386
авч	6220
руу	6217
үр	6192
боловч	6190
түүнийг	6186
хэсэг	6150
удаа	6128
германы	6089
хэл	6055
тухайн	6036
болжээ	6007
өмнө	5953
түүх	5931
дунд	5869
барсан	5799
нэгэн	5763
хувьд	5750
зарим	5707
энэхүү	5664
гадаад	5644
сая	5608
ардын	5550
олимпын	5508
мужийн	5405
бүхий	5392
уг	5388
хойш	5356
жүжигчин	5356
км	5354
эшлэл	5340
харин	5316
дугаар	5303
тул	5296
хөгжмийн	5259
маш	5224
гурван	5218
нийт	5185
ерөнхийлөгч	5174
эсрэг	5132
холбооны	5124
францын	5120
сайн	5085
гаруй	5084
хэдэн	5058
хойд	5049
алтан	4996
илүү	4989
хэмээн	4904
арга	4895
засаг	4894
бүгд	4892
хааны	4887
нутгийн	4876
авсан	4854
дайн	4845
хийсэн	4838
байгуулагдсан	4805
эхэлсэн	4799
цагаан	4790
хөлбөмбөгийн	4771
нарын	4770
англи	4754
шилдэг	4751
дахин	4747
үе	4697
орос	4696
улсад	4696
ирсэн	4659
хувь	4604
шагналтан	4590
мэт	4559
цаг	4553
хооронд	4487
бүрэн	4479
хамт	4472
хэмээх	4464
шигшээ	4455
зохиолч	4441
эдгээр	4433
хийж	4429
бие	4429
дайны	4419
одон	4399
европын	4394
зху-ын	4381
гэр	4371
байдал	4354
хууль	4343
сум	4343
хүү	4303
дэх	4284
тулд	4280
байдлаар	4194
оролцогч	4192
гадна	4165
улаан	4146
чухал	4089
байлаа	4087
бус	4084
дуу	4076
багш	4063
орчим	4056
ёсны	4048
болгон	4035
тэд	4023
үздэг	4016
сургуульд	4012
төрлийн	3976
эзэн	3972
өргөн	3909
билээ	3904
найрамдах	3895
боломжтой	3857
хоёрдугаар	3833
хүлээн	3833
нийгмийн	3826
зөвхөн	3810
талаар	3805
нарийн	3796
хөлбөмбөгчин	3790
зүйн	3781
дэд	3757
орчин	3755
сар	3736
баг	3729
учир	3720
эртний	3718
ямар	3712
английн	3709
амжилт	3692
байгуулсан	3685
гарч	3670
ажиллагаа	3663
намын	3650
зүй	3648
далайн	3641
ард	3637
байр	3610
зүйл	3598
төрөл	3593
өнгөрсөн	3592
хар	3582
тодорхой	3548
бүр	3546
хүчний	3540
урт	3536
шагнал	3499
гарсан	3470
нэгдүгээр	3464
хан	3458
холбоотой	3445
үг	3429
орж	3423
хэд	3407
бүрийн	3391
орны	3386
хувийн	3373
санал	3355
ихэвчлэн	3351
хятадын	3348
эцэг	3313
байгууллага	3284
шинж	3281
хийх	3275
лигийн	3273
монголчууд	3256
дотор	3252
ам	3250
байж	3246
цэрэг	3240
хэсэгт	3237
нэгдсэн	3233
бөх	3227
холбоо	3226
хүчин	3226
ажил	3226
соёлын	3224
муж	3220
урлагийн	3212
нутагт	3210
ухаан	3204
бүтээл	3197
бүс	3195
нийслэл	3193
наадмын	3182
цахилгаан	3178
ын	3170
хэлний	3167
дагуу	3167
болдог	3161
хүмүүс	3148
авах	3138
систем	3113
мэдээлэл	3111
үүний	3107
намтар	3103
тал	3102
жижиг	3092
ажээ	3089
британийн	3084
зөвлөлтийн	3065
дөрвөн	3061
үеэр	3047
эзэнт	3041
хятад	3035
цол	3030
тоо	3010
эхний	2985
тэдний	2984
ны	2980
японы	2980
бичиг	2973
улмаар	2966
улаанбаатар	2951
аймаг	2951
явдал	2948
герман	2946
үүрэг	2946
хүч	2934
ном	2924
азийн	2913
хэмжээний	2905
орсон	2900
гаргасан	2899
мэргэжлийн	2873
томоохон	2871
олимпод	2867
мэдээллийн	2852
бичгийн	2837
зам	2836
гаралтай	2822
төмөр	2804
нийтийн	2800
ус	2799
зуны	2798
франц	2792
байгалийн	2789
гүн	2783
шууд	2782
хүнд	2776
хүртсэн	2775
дуучин	2772
түүхэн	2766
голын	2756
хугацаанд	2754
сан	2754
ёсоор	2748
уул	2746
оршин	2745
аль	2744
багт	2744
усны	2737
медаль	2736
италийн	2729
бас	2727
ихэнх	2722
мянган	2713
ашигладаг	2706
утга	2704
хамгаалах	2704
харьяат	2700
одоогийн	2696
биш	2675
нам	2671
хэмжээ	2665
хамтран	2658
гавьяат	2655
хагас	2655
тусгай	2653
хаант	2643
суурин	2634
шашны	2632
хатан	2625
сагсан	2616
ийг	2611
жишээ	2595
мөнгөн	2594
дараах	2594
тусгаар	2590
уулын	2577
хошуу	2573
төр	2558
баатар	2550
профайл	2536
арслан	2520
аад	2516
оролцож	2511
солонгосын	2496
харилцаа	2488
химийн	2487
дээрх	2483
үүнд	2473
үзэл	2467
агаарын	2455
орших	2452
хорооны	2449
нэртэй	2444
хуудас	2443
нэрлэдэг	2441
алдартай	2432
ажилласан	2431
одоо	2429
төлөө	2422
таван	2404
компани	2390
зах	2382
үүнийг	2381
рүү	2379
ёстой	2379
оролцсон	2376
аюулгүй	2374
гаргаж	2370
төгссөн	2361
хэлээр	2360
байгуулж	2358
ван	2356
янз	2353
хурлын	2349
дор	2345
болов	2340
соёл	2338
замын	2329
зохиол	2322
ахуйн	2316
салбар	2314
бөхийн	2309
судалгааны	2292
амын	2274
гэрээ	2269
гэвч	2259
номын	2254
тэргүүн	2254
өмнөх	2250
захиргааны	2244
ижил	2238
боловсролын	2238
ийм	2233
дэлхий	2230
хөдөлмөрийн	2229
зүтгэлтэн	2224
сэтгэл	2214
оруулсан	2206
дотоод	2199
үүнээс	2198
эрүүл	2190
бичсэн	2184
эмэгтэй	2181
үүсгэн	2173
эхлэн	2163
цомын	2162
хүрэл	2159
сүүлийн	2151
ургамал	2151
цомог	2142
байдлыг	2139
зөвлөлийн	2136
залуу	2133
хэдий	2114
боловсрол	2113
адил	2113
усан	2111
киноны	2107
улмаас	2105
зуунд	2095
бнмау-ын	2087
улсыг	2080
оронд	2076
сурвалж	2075
бүтэц	2064
умард	2061
ашиглан	2060
тохиолдолд	2059
сайхны	2056
шаардлагатай	2049
ганц	2048
гарын	2048
тооны	2041
бүлэг	2038
өгсөн	2036
олж	2026
ашиглаж	2022
газарт	2022
үзэх	2003
үл	1998
хэрэг	1998
байдлын	1996
чөлөөт	1991
зориулсан	1986
гүрний	1975
арван	1967
барилгын	1967
хуулийн	1964
лавлах	1963
ажиллагааны	1963
испанийн	1961
байгууллагын	1958
болгож	1953
даргаар	1949
ашиглах	1944
амжилттай	1941
нэрэмжит	1938
доктор	1936
нисэх	1932
зохиолын	1928
ирж	1927
хөгжлийн	1926
зэвсэгт	1922
охин	1919
гар	1908
иргэний	1906
ажлын	1900
ерөнхийлөгчийн	1900
хүндэт	1898
шар	1897
дүгээр	1897
сэтгүүл	1897
байгаад	1893
армийн	1893
байгаль	1893
алдарт	1887
талд	1885
болгосон	1885
начин	1883
би	1876
эд	1868
байрладаг	1867
япон	1855
найруулагч	1852
түүнд	1845
нобелийн	1844
нуур	1842
хүрээнд	1840
хуучин	1830
ану	1823
дүнд	1822
оху-ын	1817
ач	1816
байхдаа	1816
тоглолт	1814
гэхдээ	1812
нэгж	1810
спортын	1810
хэрэгтэй	1807
ихээхэн	1804
онгоц	1800
тээврийн	1798
өөрөө	1797
цагийн	1796
польшийн	1796
зорилгоор	1793
хүчтэй	1792
ардчилсан	1791
гуравдугаар	1790
хоорондын	1790
ромын	1772
хөгжим	1771
загвар	1764
түүнчлэн	1762
тамирчин	1762
яруу	1762
үсэг	1759
хамтлаг	1758
үүссэн	1754
системийн	1753
биеийн	1750
лам	1750
ноён	1750
талын	1748
нууц	1746
бүтээсэн	1741
жишээлбэл	1739
тоглож	1739
тэрбээр	1738
байгуулах	1735
академийн	1735
ойн	1734
шагналт	1732
суурь	1731
учраас	1724
үйлдвэрийн	1724
түүхийн	1724
энэтхэгийн	1717
мэө	1715
хүүхэд	1715
чанар	1711
хожим	1710
барилга	1705
үеэс	1703
хамтлагийн	1703
сургуулийг	1703
хөрөнгө	1700
тэнгисийн	1700
судалгаа	1696
хамтын	1696
гадны	1694
эрчим	1692
хүмүүсийн	1690
хотыг	1689
бараг	1688
асуудал	1684
хүрээлэн	1684
энд	1683
ажиллагааг	1682
москва	1680
хилийн	1679
урлаг	1677
замаар	1674
манай	1673
хамгаалагч	1672
заан	1670
богино	1670
яамны	1670
генерал	1670
хатуу	1670
эрдэмтэн	1669
түүнээс	1667
наймдугаар	1666
см	1662
үлдсэн	1659
цолтой	1659
дэвжээнд	1658
энгийн	1652
түүхэнд	1650
гэхэд	1650
чингис	1642
ажилтан	1642
нөлөө	1642
дээш	1635
шашин	1632
хэргийн	1632
алба	1630
оршдог	1622
зөвлөлт	1620
баримт	1618
нэрээр	1616
мэдээллийг	1612
хэлбэр	1610
харилцан	1607
сүлжээний	1601
нэрт	1600
ой	1599
тоглодог	1593
далай	1590
дууны	1588
технологийн	1587
удаагийн	1586
сангийн	1585
онуудад	1583
дүр	1583
ажиллах	1583
жон	1583
толгой	1582
техникийн	1581
хүүхдийн	1581
уур	1579
чиглэлээр	1578
өвлийн	1576
судлалын	1575
элчин	1574
радио	1571
турш	1571
дорнод	1568
солонгос	1562
иргэн	1554
арми	1553
зуун	1551
ялангуяа	1546
бодлого	1546
эрдэм	1545
өдрийн	1542
хувьсгалын	1542
гэнэ	1541
бөмбөгийн	1541
нэрийг	1540
ах	1540
ажлыг	1537
амьд	1534
сараас	1531
монголд	1530
мөрөн	1528
талбай	1526
туслах	1524
үзэж	1522
гүйцэтгэх	1520
нөхцөл	1515
удирдлага	1514
салбарт	1511
авчээ	1498
бүл	1491
наадамд	1490
тоглолтонд	1488
талаараа	1487
явуулж	1487
онцгой	1481
удирдах	1480
хил	1476
тэмдэг	1475
шинжилгээний	1473
тэмцээнд	1472
тоглосон	1468
ажилладаг	1466
өөрчлөлт	1463
ургамлын	1463
шиг	1463
тэмцээн	1463
хэсгийг	1460
худалдааны	1458
хурал	1456
удирдагч	1453
судлаач	1453
метрийн	1451
амьдарч	1450
сайхан	1449
үнэн	1447
даасан	1447
оноо	1444
санхүүгийн	1441
болгох	1437
жилд	1436
бичиж	1436
ялгаатай	1434
хөнгөн	1431
захирал	1430
түүхтэй	1429
үнэ	1427
долоодугаар	1425
бодит	1422
анги	1416
хөдөө	1416
хэвлэл	1416
мөнгө	1415
доод	1415
тэрбум	1414
үйлчилгээ	1412
нэмэлт	1410
баяр	1408
метр	1406
үйлдвэр	1402
арал	1402
ёс	1401
