нь	170543	noun	1
ангилал	106362	noun	2
онд	79876	noun	3
оны	61770	noun	4
ба	50802	noun	5
юм	49457	noun	6
монгол	48896	noun	7
байна	41534	noun	8
улсын	41132	noun	9
болон	39448	noun	10
сарын	39326	noun	11
бол	39071	noun	12
байсан	37385	noun	13
их	35518	noun	14
хүн	34561	noun	15
бөгөөд	34193	noun	16
улс	32069	noun	17
энэ	31446	noun	18
газар	29985	noun	19
нэг	29134	noun	20
олон	27129	noun	21
гэж	24859	noun	22
он	23267	noun	23
нд	22646	noun	24
байдаг	22243	noun	25
дахь	22233	noun	26
байх	21207	verb	27
түүний	20538	noun	28
бүх	19798	verb	29
нар	19777	noun	30
тус	19642	noun	31
төрсөн	19611	noun	32
зэрэг	18849	noun	33
нутаг	18405	noun	34
мөн	18385	noun	35
болсон	18384	noun	36
хаан	18236	noun	37
нэр	18182	noun	38
хэл	17717	noun	39
орон	17239	noun	40
дараа	16935	noun	41
эх	16772	noun	42
нас	16581	noun	43
хоёр	16396	noun	44
үед	15399	noun	45
аймгийн	15233	noun	46
байв	15216	noun	47
төв	15198	noun	48
гэх	14804	verb	49
хэсэг	14695	noun	50
болох	14663	verb	51
хот	14572	noun	52
хамгийн	14501	noun	53
гол	14212	noun	54
тэрээр	14205	noun	55
байгаа	13970	noun	56
дээр	13647	noun	57
дэлхийн	13458	noun	58
эрх	13337	verb	59
буюу	13164	noun	60
сургууль	13124	noun	61
түүх	13108	verb	62
кино	12943	noun	63
өөр	12636	noun	64
зураг	12376	noun	65
гэдэг	12267	noun	66
гэсэн	11979	noun	67
үйл	11856	noun	68
төрийн	11755	noun	69
анхны	11704	noun	70
гэр	11274	noun	71
байжээ	11116	noun	72
засгийн	11006	noun	73
тэд	10971	noun	74
жил	10697	noun	75
холбоос	10592	noun	76
байдал	10489	noun	77
тал	10383	noun	78
ажил	10360	noun	79
удаа	10338	noun	80
хотод	10209	noun	81
цаг	10025	noun	82
албан	9922	noun	83
нийт	9770	noun	84
ажиллагаа	9737	noun	85
тоглогч	9730	noun	86
өдөр	9666	noun	87
бусад	9561	noun	88
дуу	9433	noun	89
сайд	9420	noun	90
анх	9408	verb	91
сан	9353	noun	92
цэргийн	9194	noun	93
оросын	9185	noun	94
дунд	9152	noun	95
уран	9135	noun	96
аварга	9134	noun	97
бага	9117	noun	98
ерөнхий	9046	noun	99
жилийн	9015	noun	100
шинэ	8931	noun	101
бүтээл	8912	noun	102
хүртэл	8886	noun	103
бие	8877	noun	104
өндөр	8813	noun	105
гишүүн	8709	noun	106
ану-ын	8701	noun	107
дээд	8453	noun	108
тэр	8448	noun	109
эсвэл	8421	noun	110
хотын	8368	noun	111
тоо	8310	noun	112
ерөнхийлөгч	8206	noun	113
файл	7911	noun	114
хийх	7843	verb	115
үндэсний	7827	noun	116
үеийн	7801	noun	117
ам	7799	noun	118
амжилт	7783	noun	119
сард	7782	noun	120
систем	7773	noun	121
өмнөд	7691	noun	122
цэрэг	7654	noun	123
үндсэн	7437	noun	124
тул	7425	noun	125
бүр	7420	noun	126
хооронд	7415	noun	127
шагнал	7407	noun	128
эзэн	7378	noun	129
хамгаалах	7332	verb	130
аж	7304	noun	131
тухай	7291	noun	132
хамт	7285	noun	133
орос	7252	noun	134
эдийн	7139	noun	135
хэмжээ	7129	noun	136
баруун	7127	noun	137
бий	7124	noun	138
цахим	7046	noun	139
зууны	7038	noun	140
буй	7025	noun	141
сургуулийн	6985	noun	142
том	6973	noun	143
дайн	6963	noun	144
сум	6952	noun	145
зүйл	6945	noun	146
гадаад	6885	noun	147
авах	6870	verb	148
зарим	6863	noun	149
би	6825	noun	150
ухааны	6813	noun	151
зүүн	6813	noun	152
засаг	6812	noun	153
зам	6800	noun	154
хэд	6782	noun	155
сумын	6780	noun	156
үр	6754	noun	157
хүч	6754	noun	158
төр	6704	noun	159
хэрэг	6701	noun	160
ийн	6689	noun	161
бөх	6675	verb	162
ажиллаж	6671	noun	163
төрөл	6608	noun	164
үг	6580	noun	165
зохион	6550	noun	166
дарга	6533	noun	167
барсан	6515	noun	168
хүмүүс	6490	noun	169
шинжлэх	6468	verb	170
орчин	6434	noun	171
америкийн	6424	noun	172
өөрийн	6417	noun	173
руу	6400	noun	174
гар	6359	noun	175
учир	6277	noun	176
авч	6220	noun	177
германы	6202	noun	178
цол	6202	noun	179
салбар	6194	noun	180
боловч	6190	noun	181
хар	6155	noun	182
бүс	6153	noun	183
дугаар	6057	noun	184
тухайн	6036	noun	185
нэгэн	6036	noun	186
үзэх	6022	verb	187
хан	6013	noun	188
шигшээ	6008	noun	189
болжээ	6007	noun	190
холбоо	5977	noun	191
өмнө	5972	noun	192
сар	5958	noun	193
дор	5958	noun	194
байр	5952	noun	195
маш	5863	noun	196
жүжигчин	5789	noun	197
хувьд	5779	noun	198
сая	5762	noun	199
уг	5693	noun	200
энэхүү	5664	noun	201
бичиг	5626	noun	202
үүний	5619	noun	203
үе	5615	noun	204
хууль	5612	noun	205
орчим	5594	noun	206
арга	5588	noun	207
авсан	5551	noun	208
ардын	5550	noun	209
мэдээлэл	5547	noun	210
олимпын	5508	noun	211
илүү	5498	noun	212
орших	5473	verb	213
хойш	5427	noun	214
багш	5427	noun	215
одон	5417	noun	216
мужийн	5405	noun	217
хүү	5396	noun	218
эсрэг	5394	noun	219
бүгд	5388	noun	220
км	5354	noun	221
эшлэл	5350	noun	222
алтан	5332	noun	223
байгуулагдсан	5329	noun	224
үүрэг	5321	noun	225
харин	5316	noun	226
мэт	5313	noun	227
талаар	5292	noun	228
англи	5289	noun	229
явдал	5285	noun	230
хөгжмийн	5259	noun	231
хошуу	5248	noun	232
хийсэн	5244	noun	233
гурван	5241	noun	234
зохиолч	5238	noun	235
хийж	5202	noun	236
аймаг	5202	noun	237
эхэлсэн	5190	noun	238
сайн	5189	noun	239
эдгээр	5180	noun	240
